O/F,c*_m/s,Tc_K,Isp_vac_s_eps6,Isp_SL_s_eps6,gamma_chamber,MW_g/mol,cp_kJ/kg-K,mu_millipoise,Pr,rho_Isp_s-g/cc
6.00,1585.6,3148,267.37,239.29,1.1864,24.828,0.6363,0.9464,0.4586,183.4
6.10,1588.0,3165,267.97,239.84,1.1828,24.950,0.6551,0.9515,0.4619,183.8
6.20,1590.2,3181,268.53,240.36,1.1794,25.067,0.6746,0.9563,0.4654,184.1
6.30,1592.1,3196,269.06,240.86,1.1762,25.181,0.6946,0.9607,0.4690,184.4
6.40,1593.8,3210,269.55,241.32,1.1732,25.290,0.7149,0.9648,0.4727,184.7
6.50,1595.1,3222,270.02,241.76,1.1704,25.396,0.7352,0.9685,0.4763,185.0
6.60,1596.2,3233,270.45,242.18,1.1678,25.497,0.7555,0.9719,0.4798,185.2
6.70,1597.1,3242,270.85,242.56,1.1654,25.595,0.7754,0.9751,0.4831,185.5
6.80,1597.6,3251,271.22,242.93,1.1632,25.690,0.7948,0.9779,0.4863,185.7
6.90,1598.0,3258,271.57,243.26,1.1612,25.781,0.8136,0.9805,0.4892,185.9
7.00,1598.1,3265,271.88,243.57,1.1594,25.869,0.8315,0.9828,0.4919,186.0
7.10,1598.0,3271,272.16,243.86,1.1577,25.954,0.8485,0.9849,0.4944,186.2
7.20,1597.7,3276,272.42,244.12,1.1562,26.036,0.8644,0.9868,0.4966,186.3
7.30,1597.2,3280,272.65,244.36,1.1549,26.115,0.8792,0.9885,0.4986,186.5
7.40,1596.5,3284,272.85,244.57,1.1537,26.191,0.8929,0.9900,0.5005,186.6
7.50,1595.7,3287,273.02,244.76,1.1526,26.265,0.9053,0.9913,0.5021,186.7
7.60,1594.8,3289,273.17,244.92,1.1516,26.336,0.9166,0.9925,0.5036,186.7
7.70,1593.7,3291,273.29,245.06,1.1507,26.405,0.9267,0.9935,0.5050,186.8
7.80,1592.5,3292,273.38,245.18,1.1500,26.472,0.9357,0.9944,0.5062,186.8
7.90,1591.3,3293,273.45,245.27,1.1493,26.537,0.9435,0.9952,0.5073,186.9
